year,Japan,usa,India,germany
2000,4.72,3.991667,5.663,7.917
2001,5.03,4.733333,5.659,7.773
2002,5.38,5.775,5.719,8.482
2003,5.26,5.991667,5.725,9.779
2004,4.72,5.533333,5.669,10.727
2005,4.42,5.066667,5.598,11.167
2006,4.14,4.616667,5.45,10.25
2007,3.84,4.616667,5.323,8.658
2008,3.99,5.775,5.281,7.524
2009,5.07,9.266666,5.566,7.742
2010,5.05,9.616667,5.636,6.966
2011,4.58,8.95,5.638,5.824
2012,4.35,8.066667,5.652,5.379
2013,4.03,7.375,5.671,5.231
2014,3.59,6.166667,5.608,4.981
2015,3.38,5.291667,5.565,4.624
2016,3.12,4.866667,5.511,4.122
2017,2.81,4.35,5.419,3.746
2018,2.44,3.9,5.33,3.384
2019,2.35,3.67,5.355,3.043